1239756594348544000 2020-03-17 03:33:00 UTC <jenniferatntd> 这回川总直接说中国病毒🦠了。你会甩，人家也会怼的。 https://twitter.com/realdonaldtrump/status/1239685852093169664 …
1239740465458659333 2020-03-17 02:28:54 UTC <jenniferatntd> Just recorded, at a bus station in NYC. The social distancing and isolation have taking effect. Buses are still running, but passengers are much much less. 紐約公共汽車站。剛錄的。公交🚌還在運營。只是乘客少了很多。自覺隔離進行中 #COVID19 #coronavirus #coronavirusnyc #武汉肺炎 pic.twitter.com/J1y0uFLEWT
1239709987850653696 2020-03-17 00:27:48 UTC <jenniferatntd> Don’t underestimate #CCP’s information war against the US and the west. Even overseas Chinese students can be brainwashed into believing #China is the only safe place to go during #CoronavirusOutbreak. See this woman’s bio & what she says about @SecPompeo admission of #BioWeapon pic.twitter.com/biZdF2c3Mw
1239707243735650305 2020-03-17 00:16:54 UTC <jenniferatntd> 一开始我看到 #中共 想就 #武汉肺炎 甩锅美国时，觉得不屑一顾。后来看到小粉红和墙内民众的表现，觉得真不能小觑了中共的阴谋和企图。他们一味胡撹，把水搅浑，还真可能起到引领舆论，让人忘了，或想不起来哪些才是重要的事。#新冠肺炎 #新冠病毒 🦠希望大家不要上当。 https://twitter.com/jenniferatntd/status/1239705012235878401 …
1239705012235878401 2020-03-17 00:08:02 UTC <jenniferatntd> Don’t underestimate #CCP’s information war against the US and the west. Even overseas Chinese students can be brainwashed into believing #China is the only safe place to go during #CoronavirusOutbreak. See this woman’s bio & what she says about @SecPompeo admission of #BioWeapon pic.twitter.com/ML4smUNPFI
1239699802746753029 2020-03-16 23:47:20 UTC <jenniferatntd> 北京一幹休所，136名高幹或其家属在國外，有人感染 #武汉肺炎 后秘密回京，警卫赶来保驾，要求党领导，党务委员都要来，要用心…果然在赵国得当赵家人才行。这与那些小粉红的待遇可是天上地下的区别。#新冠肺炎 #新冠病毒 🦠 https://twitter.com/jenniferatntd/status/1239697401428000768 …
1239697401428000768 2020-03-16 23:37:47 UTC <jenniferatntd> At a residential compound especially for #CCP’s high ranking cadres. This video reveals that CCP cadres are served very well by soldiers during #coronavirusoutbreak , have lots of privileges, 136 members of the families in this compound are overseas. #COVID19 #coronavirus pic.twitter.com/tr6AJa7XNw
1239671637873745921 2020-03-16 21:55:25 UTC <jenniferatntd> 海外留学生听信 #中共 宣传，认为中国是躲避 #武汉肺炎 瘟疫 最安全的问题，有的包机飞回 #中国。结果……这位女生居然谈什么人权，居然要求喝瓶装水，显然这在厉害国是很不合时宜的。 更多视频： http://bit.ly/2uBfJPr  #武汉肺炎 #新冠肺炎 #新冠病毒 #全民反抗 #全民自救 #全民互救 #傳播真相 https://twitter.com/jenniferatntd/status/1239667321008001028 …
1239667321008001028 2020-03-16 21:38:15 UTC <jenniferatntd> "Patriotic" overseas Chinese students believed in #CCP's propaganda, flew back to #China, "the safest country to avoid #COVID19 ". Ended up... When this girl complaining she didn't have drink water for 3 days and talking about "human rights", cop threatens to take her away. pic.twitter.com/ZwgGD9WFDz
1239664623491653635 2020-03-16 21:27:32 UTC <jenniferatntd> This is the same doctor who reveals this:  https://twitter.com/jenniferatntd/status/1239183215161683969?s=20 … https://twitter.com/jenniferatntd/status/1239643218452590598 …
1239664570836402185 2020-03-16 21:27:20 UTC <jenniferatntd> This is the same doctor who reveals this: https://twitter.com/jenniferatntd/status/1239183215161683969?s=20 …
