1239864635953688577 2020-03-17 10:42:19 UTC <PekingMike> And, of course, “C’mon Eileen” aka “COVID-19”
1239862294357716993 2020-03-17 10:33:01 UTC <PekingMike> Financial Twitter hive: When airlines (or any company) say they are running out of cash, does that include the shares they’ve bought back over many years? Are they expected to sell these accumulated shares as they burn through cash? https://twitter.com/business/status/1239756353905790976 …
1239729956327915521 2020-03-17 01:47:09 UTC <PekingMike> You need to extricate yourself from the hoopla ASAP. You are knee-deep in it!
1239162241217421312 2020-03-15 12:11:15 UTC <PekingMike> Congratulations!
